192.168.96.1 - - [18/Oct/2019:17:23:54 +0000] "GET / HTTP/1.1" 404 1119
192.168.96.1 - - [18/Oct/2019:17:23:58 +0000] "GET /dontcallme_war HTTP/1.1" 302 -
192.168.96.1 - - [18/Oct/2019:17:23:59 +0000] "GET /dontcallme_war/ HTTP/1.1" 200 573
192.168.96.1 - - [18/Oct/2019:17:23:59 +0000] "GET /dontcallme_war/css/custom.css HTTP/1.1" 200 1054
192.168.96.1 - - [18/Oct/2019:17:23:59 +0000] "GET /dontcallme_war/images/cctv.jpg HTTP/1.1" 200 937043
192.168.96.1 - - [18/Oct/2019:17:23:59 +0000] "GET /dontcallme_war/login.jsp HTTP/1.1" 200 3280
192.168.96.1 - - [18/Oct/2019:17:24:00 +0000] "GET /dontcallme_war/css/bootstrap.css HTTP/1.1" 200 145942
192.168.96.1 - - [18/Oct/2019:17:24:00 +0000] "GET /dontcallme_war/js/bootstrap.js HTTP/1.1" 200 69707
192.168.96.1 - - [18/Oct/2019:17:24:12 +0000] "POST /dontcallme_war/loginAction.jsp HTTP/1.1" 200 510
192.168.96.1 - - [18/Oct/2019:17:24:13 +0000] "GET /dontcallme_war/main.jsp HTTP/1.1" 500 2623
192.168.96.1 - - [18/Oct/2019:17:25:40 +0000] "GET /dontcallme_war/main.jsp HTTP/1.1" 500 2623
192.168.96.1 - - [18/Oct/2019:17:25:43 +0000] "GET /dontcallme_war/ HTTP/1.1" 200 573
192.168.96.1 - - [18/Oct/2019:17:25:43 +0000] "GET /dontcallme_war/css/custom.css HTTP/1.1" 200 1054
192.168.96.1 - - [18/Oct/2019:17:25:43 +0000] "GET /dontcallme_war/login.jsp HTTP/1.1" 200 3280
192.168.96.1 - - [18/Oct/2019:17:25:43 +0000] "GET /dontcallme_war/images/cctv.jpg HTTP/1.1" 200 937043
192.168.96.1 - - [18/Oct/2019:17:25:43 +0000] "GET /dontcallme_war/css/bootstrap.css HTTP/1.1" 200 145942
192.168.96.1 - - [18/Oct/2019:17:25:43 +0000] "GET /dontcallme_war/js/bootstrap.js HTTP/1.1" 200 69707
192.168.96.1 - - [18/Oct/2019:17:25:43 +0000] "GET /dontcallme_war/images/cctv.jpg HTTP/1.1" 200 937043
192.168.96.1 - - [18/Oct/2019:17:25:50 +0000] "POST /dontcallme_war/loginAction.jsp HTTP/1.1" 200 510
192.168.96.1 - - [18/Oct/2019:17:25:50 +0000] "GET /dontcallme_war/main.jsp HTTP/1.1" 200 5014
192.168.96.1 - - [18/Oct/2019:17:28:24 +0000] "GET /dontcallme_war/images/cctv.jpg HTTP/1.1" 200 937043
192.168.96.1 - - [18/Oct/2019:17:28:24 +0000] "GET /images/cctv.jpg HTTP/1.1" 404 1119
192.168.96.1 - - [18/Oct/2019:17:28:24 +0000] "GET /images/cctv.jpg HTTP/1.1" 404 1119
